iter	RMSE
0	1.352460766
1	1.124409181
2	0.9676302309
3	0.8613537388
4	0.7666838434
5	0.7151323055
6	0.6772996802
7	0.6336385835
8	0.6099788141
9	0.5916900452
10	0.5725693206
11	0.5626371981
12	0.5458018078
13	0.5398462162
14	0.5328357031
15	0.527695726
16	0.5225764844
17	0.516333542
18	0.5122715567
19	0.5093448584
20	0.5037578926
21	0.4997574799
22	0.492642468
23	0.4855247346
24	0.4815770577
25	0.478949123
26	0.4759340157
27	0.4728585732
28	0.4654379684
29	0.4602076444
30	0.4564532268
31	0.4543928085
32	0.4520813041
33	0.4499016623
34	0.4466958378
35	0.4445432432
36	0.4431748211
37	0.4407940195
38	0.4393757899
39	0.4379375644
40	0.4338366029
41	0.4325717048
42	0.4312397128
43	0.4279273174
44	0.4253872853
45	0.4234478199
46	0.4213821128
47	0.4190145773
48	0.4171070992
49	0.4141074213
50	0.4122481155
51	0.4107662501
52	0.4089494072
53	0.4078339027
54	0.405449807
55	0.4046245275
56	0.4045510498
57	0.4028393025
58	0.4017113761
59	0.4002861793
60	0.3985280954
61	0.3972580882
62	0.395700524
63	0.3937514937
64	0.3930979549
65	0.3922418007
66	0.3914579992
67	0.3908455072
68	0.3898780917
69	0.3886548855
70	0.3872572398
71	0.3866281229
72	0.3853271218
73	0.3845574384
74	0.3833567085
75	0.3825998638
76	0.3812034811
77	0.3806750186
78	0.3799832967
79	0.3793276591
80	0.3780244589
81	0.3766569588
82	0.3758781535
83	0.3746826948
84	0.3738458592
85	0.3734514672
86	0.3728382576
87	0.3722925159
88	0.3716602717
89	0.3702941303
90	0.3691348387
91	0.3687095151
92	0.3683757284
93	0.3677430874
94	0.3670604064
95	0.3665764934
96	0.366227869
97	0.3652862991
98	0.3645611491
99	0.3639129077
100	0.3631909233
101	0.3627493999
102	0.3624915745
103	0.3615551499
104	0.361028574
105	0.3605991527
106	0.3597880021
107	0.358837059
108	0.3581418902
109	0.3577462834
110	0.3572272399
111	0.3566811704
112	0.356244944
113	0.3557628012
114	0.3552436399
115	0.3548738896
116	0.3544431668
117	0.3540996858
118	0.3535086713
119	0.3531115776
120	0.3527378404
121	0.3518878546
122	0.3515821678
123	0.3511095311
124	0.3507901701
125	0.3503471408
126	0.3499364095
127	0.3494554395
128	0.3490044488
129	0.3483497688
130	0.3479748438
131	0.3475972979
132	0.3472023551
133	0.3469439967
134	0.3465747684
135	0.3462083671
136	0.3459967105
137	0.3457061008
138	0.3452716378
139	0.344906201
140	0.34466047
141	0.3441764203
142	0.3434938401
143	0.3431712919
144	0.3428876916
145	0.3424509347
146	0.3420638914
147	0.3418337835
148	0.341352889
149	0.3405207579
150	0.3402097579
151	0.3400001118
152	0.3395588463
153	0.3393310341
154	0.3386498465
155	0.3382385905
156	0.3378963226
157	0.3375581486
158	0.3371917177
159	0.3369339191
160	0.3365500879
161	0.3362578154
162	0.3360627426
163	0.3358752395
164	0.3353379019
165	0.3345559573
166	0.3342682979
167	0.3339766777
168	0.3337570445
169	0.333515441
170	0.3333183599
171	0.3330583751
172	0.33270356
173	0.3324262313
174	0.3322193188
175	0.3319397101
176	0.3313919827
177	0.3310935942
178	0.330742051
179	0.3305468568
180	0.3301601271
181	0.3298727454
182	0.3296461085
183	0.329424868
184	0.3292513747
185	0.3290843238
186	0.3286934557
187	0.3282696031
188	0.3279699087
189	0.3276994027
190	0.3273656506
191	0.3272058203
192	0.3267914826
193	0.3265878669
194	0.3264019785
195	0.3262982795
196	0.3260715481
197	0.3258698877
198	0.3255322491
199	0.3253370104
200	0.3250271578
201	0.3245375724
202	0.3243474034
203	0.3241361146
204	0.3238050832
