iter	Passed	Remaining
0	371	129679
1	602	104813
2	945	109317
3	1296	112184
4	1666	114964
5	2055	117861
6	2317	113557
7	2551	109055
8	2783	105475
9	3027	102919
10	3321	102356
11	3651	102844
12	4028	104419
13	4438	106513
14	4958	110730
15	5317	111007
16	5772	113079
17	6188	114135
18	6531	113784
19	6866	113293
20	7110	111390
21	7384	110092
22	7700	109488
23	7969	108255
24	8215	106804
25	8508	106029
26	8812	105425
27	9117	104852
28	9450	104611
29	9735	103847
30	9970	102600
31	10206	101430
32	10446	100351
33	10679	99259
34	11103	99934
35	11434	99731
36	11696	98947
37	11930	97955
38	12183	97154
39	12519	97029
40	12787	96371
41	13060	95774
42	13268	94734
43	13577	94423
44	13841	93816
45	14201	93854
46	14522	93624
47	14745	92772
48	14986	92060
49	15247	91483
50	15521	91000
51	15770	90379
52	16012	89729
53	16263	89149
54	16480	88397
55	16693	87640
56	16901	86880
57	17129	86240
58	17361	85630
59	17619	85161
60	17825	84450
61	18068	83932
62	18283	83290
63	18499	82667
64	18756	82239
65	19164	82463
66	19438	82107
67	19671	81579
68	19936	81189
69	20244	80979
70	20504	80574
71	20776	80219
72	21101	80069
73	21472	80086
74	21841	80084
75	22122	79756
76	22452	79604
77	22776	79426
78	23075	79158
79	23283	78581
80	23508	78069
81	23811	77824
82	24057	77390
83	24314	76996
84	24535	76493
85	24770	76040
86	25003	75584
87	25258	75202
88	25487	74745
89	25739	74359
90	26054	74154
91	26311	73785
92	26626	73580
93	26958	73417
94	27228	73088
95	27474	72692
96	27708	72271
97	27932	71826
98	28155	71384
99	28390	70976
100	28628	70579
101	28855	70159
102	29104	69793
103	29373	69479
104	29677	69248
105	29942	68924
106	30230	68655
107	30530	68410
108	30828	68161
109	31171	68010
110	31525	67879
111	31799	67574
112	32032	67183
113	32275	66816
114	32516	66446
115	32747	66060
116	32980	65678
117	33198	65271
118	33469	64970
119	33707	64606
120	33939	64232
121	34246	64001
122	34491	63655
123	34730	63298
124	34968	62942
125	35183	62548
126	35392	62145
127	35630	61796
128	35872	61455
129	36079	61058
130	36333	60740
131	36578	60410
132	36787	60021
133	37000	59642
134	37205	59253
135	37399	58848
136	37640	58521
137	37837	58126
138	38063	57779
139	38283	57425
140	38474	57029
141	38714	56708
142	38921	56341
143	39126	55972
144	39310	55576
145	39523	55224
146	39749	54892
147	40000	54595
148	40237	54280
149	40461	53948
150	40693	53629
151	40957	53352
152	41184	53028
153	41402	52693
154	41653	52403
155	41881	52083
156	42143	51806
157	42378	51497
158	42658	51243
159	42895	50938
160	43213	50728
161	43468	50444
162	43714	50150
163	43967	49865
164	44174	49529
165	44391	49205
166	44611	48885
167	44853	48591
168	45079	48280
169	45348	48016
170	45638	47774
171	45856	47455
172	46106	47172
173	46376	46909
174	46643	46643
175	46884	46351
176	47148	46083
177	47434	45835
178	47683	45552
179	47958	45294
180	48206	45010
181	48461	44733
182	48689	44432
183	48911	44126
184	49155	43841
185	49446	43597
186	49701	43322
187	49942	43035
188	50172	42739
189	50435	42472
190	50725	42227
191	51047	42007
192	51286	41720
193	51550	41453
194	51824	41193
195	52201	41015
196	52539	40804
197	52811	40542
198	53048	40252
199	53277	39958
200	53499	39658
201	53732	39368
202	53953	39069
203	54212	38799
204	54482	38536
205	54730	38258
206	54959	37967
207	55239	37711
208	55584	37499
